Stage,n,Accuracy,ROC-AUC
"Powerplay
(0-5)",5925,0.6464135021097046,0.6914503278198709
"Middle
(5-10)",7249,0.686439508897779,0.7431036328776103
"Late middle
(10-15)",7048,0.7480136208853575,0.8126125522823506
"Death I
(15-18)",3925,0.8056050955414013,0.8860555426578228
"Death II
(18-19)",1045,0.8382775119617225,0.9233333333333333
"Final over
(19-20)",736,0.8967391304347826,0.9383541699021587
